time,curr_cmd0,curr_cmd1,curr_cmd2,curr_cmd3,curr_cmd4,curr_cmd5,curr_cmd6
1536128083.427368636,0.863954,0.00212789,-0.870903,-0.0283511,-0.0912309,-0.0257285,-0.0658931
1536128083.435560380,0.862368,0.00291228,-0.871707,-0.026277,-0.0912867,-0.0252279,-0.0673633
1536128083.443743166,0.862652,0.002048,-0.871335,-0.0264869,-0.0917568,-0.0262639,-0.0656243
1536128083.451973383,0.864809,0.00302829,-0.872775,-0.0267281,-0.091271,-0.0254152,-0.0671255
1536128083.489054620,0.860948,0.00465783,-0.87348,-0.0274806,-0.0886072,-0.0254981,-0.0680782
1536128083.497178829,0.869619,0.00338382,-0.874436,-0.0248023,-0.0822276,-0.0239498,-0.0666592
1536128083.505276195,0.869077,0.0038916,-0.87548,-0.0220736,-0.0803532,-0.0244537,-0.066261
1536128083.513349086,0.870376,0.00323043,-0.87386,-0.0192078,-0.0760936,-0.0227573,-0.0657218
1536128083.521393620,0.870723,0.00289846,-0.873903,-0.0162644,-0.0736171,-0.0230977,-0.0666157
1536128083.529344872,0.87013,0.00332422,-0.874078,-0.0106598,-0.0707788,-0.0233811,-0.0679583
1536128083.573728903,0.86898,0.00334487,-0.875774,-0.00630676,-0.0674327,-0.0196629,-0.0672081
1536128083.581745207,0.863709,0.00276065,-0.875116,-0.00254907,-0.0685883,-0.0201763,-0.0693894
1536128083.589935636,0.859413,0.00242518,-0.87429,-0.0026647,-0.0685878,-0.0211629,-0.0680836
1536128083.598023730,0.860642,0.00211012,-0.873471,-0.00377446,-0.0691689,-0.0204349,-0.0687039
1536128083.606059431,0.861912,0.00361638,-0.874642,-0.00473849,-0.0696806,-0.0203177,-0.0675204
1536128083.614142603,0.862257,0.00404767,-0.873966,-0.00555229,-0.0701343,-0.0195906,-0.0681333
1536128083.655528355,0.856471,0.0046065,-0.874131,-0.00592838,-0.0703243,-0.0180399,-0.0688178
1536128083.663721684,0.856848,0.00781739,-0.874924,-0.00833369,-0.0702798,-0.0181583,-0.0684723
1536128083.671844198,0.852548,0.00763107,-0.875705,-0.00814245,-0.0697342,-0.0177886,-0.0690496
1536128083.679905552,0.858426,0.00789751,-0.874954,-0.00847839,-0.0698957,-0.0174979,-0.0691723
1536128083.688018262,0.855106,0.00911535,-0.876025,-0.00824822,-0.0692497,-0.0165568,-0.0685339
1536128083.696017876,0.857332,0.0109137,-0.87637,-0.00921827,-0.068414,-0.0161944,-0.0690965
1536128083.704043133,0.857724,0.0139053,-0.8761,-0.00931188,-0.0693736,-0.0163185,-0.0687433
1536128083.712024232,0.856259,0.0151353,-0.87467,-0.00950371,-0.0694577,-0.0167561,-0.0687813
1536128083.720065226,0.855744,0.0190749,-0.87703,-0.00975173,-0.0694419,-0.0164075,-0.0693416
1536128083.728097572,0.860778,0.0216922,-0.876705,-0.0094066,-0.0694962,-0.0165006,-0.0694104
1536128083.736143165,0.856585,0.0244207,-0.877955,-0.00915337,-0.0686896,-0.0153868,-0.0700859
1536128083.744156766,0.858849,0.0263729,-0.879074,-0.00975179,-0.0703322,-0.0150986,-0.0702094
1536128083.752275972,0.858338,0.0272115,-0.878345,-0.0093615,-0.0703778,-0.0137249,-0.0700558
1536128083.760274975,0.855063,0.0283724,-0.879312,-0.00953049,-0.0703578,-0.0153494,-0.0695052
1536128083.768314347,0.856393,0.0285603,-0.87851,-0.00983207,-0.0694331,-0.0153209,-0.0704543
1536128083.776577927,0.857714,0.0287787,-0.877688,-0.00918023,-0.0711786,-0.0142863,-0.0706803
1536128083.784685399,0.85536,0.0286655,-0.878418,-0.010045,-0.070186,-0.0140974,-0.0699407
1536128083.792733326,0.859482,0.029957,-0.878633,-0.0103475,-0.0692085,-0.0128284,-0.0719084
1536128083.800789216,0.855291,0.0288976,-0.877579,-0.0104675,-0.069186,-0.0131203,-0.0702572
1536128083.808824553,0.852929,0.0282911,-0.878261,-0.0101344,-0.0683061,-0.0132588,-0.0698925
1536128083.816910673,0.855157,0.0289367,-0.87752,-0.0100248,-0.0699882,-0.012858,-0.0708813
1536128083.825047936,0.85093,0.0284797,-0.878271,-0.0102544,-0.0690542,-0.0118646,-0.0706737
1536128083.833151543,0.849436,0.0286301,-0.87826,-0.010134,-0.070755,-0.012691,-0.0706493
1536128083.841360990,0.85352,0.0293671,-0.87678,-0.0103967,-0.0698131,-0.0112786,-0.0709142
1536128083.849562007,0.852987,0.0282638,-0.877408,-0.0109638,-0.070546,-0.0115281,-0.0696682
1536128083.857704473,0.852459,0.0287563,-0.878307,-0.0106073,-0.0696519,-0.0107988,-0.070264
1536128083.865881208,0.848219,0.0275773,-0.878063,-0.0108065,-0.0687493,-0.0103748,-0.0712635
1536128083.873885374,0.847661,0.0278238,-0.877263,-0.0113985,-0.0694711,-0.0104442,-0.0713406
1536128083.882008844,0.84989,0.0284496,-0.878185,-0.010473,-0.0686795,-0.00940824,-0.0715506
